feat,lrp
TFs_and_others_PHF21A,1.6634076256885457e-06
TFs_and_others_SREBF1,1.918996359612346e-06
TFs_and_others_G-quadruplexes,0.0001894661882063881
TFs_and_others_LMO1,0.0002282263418582957
TFs_and_others_AR,0.0006668764890999284
TFs_and_others_GLI1,4.6548796709208625e-05
TFs_and_others_PRKCQ,4.913790552783828e-05
TFs_and_others_HOXA5,2.7248882077430665e-06
TFs_and_others_ZFP2,3.4791462575715552e-06
TFs_and_others_DNMT3A,8.18676473023208e-06
TFs_and_others_E2F3,1.375266019962334e-06
TFs_and_others_RUVBL1,7.321137278651086e-07
TFs_and_others_NR0B2,6.134456295075716e-08
TFs_and_others_ZSCAN12,-1.720408874671387e-06
TFs_and_others_ATM,-2.476080529611534e-06
TFs_and_others_BRF1,-6.234680815646558e-06
TFs_and_others_ESRRA,-8.369541706867362e-07
TFs_and_others_CCNE1,3.7456551906347236e-07
TFs_and_others_ZBED5,7.800680658621831e-07
TFs_and_others_NFYC,-1.2905461648822445e-05
TFs_and_others_ZNF101,-1.92335258153593e-05
Histone_H2A.Zac,-5.521603715953216e-05
TFs_and_others_HOXD13,-3.5932611711989937e-06
TFs_and_others_HOXD4,-3.577278695120655e-06
TFs_and_others_ZNF77,6.38823564520332e-07
TFs_and_others_FOXC2,5.291202855707662e-07
TFs_and_others_DNMT3B,1.728230270634012e-06
TFs_and_others_ZHX3,1.0548495439236086e-06
TFs_and_others_CPSF3,2.448428428385235e-06
TFs_and_others_HOXC5,1.844763023446003e-06
TFs_and_others_FOXK2,1.9784420644017156e-06
TFs_and_others_ZNF20,2.1098487359193867e-07
TFs_and_others_NCOA5,1.8710288654923627e-07
TFs_and_others_POLQ,8.430889552982728e-08
TFs_and_others_ZNF408,2.2300824126886184e-07
TFs_and_others_ZNF740,1.5000724336776908e-06
TFs_and_others_HOXD11,9.652005748728717e-07
TFs_and_others_RCOR1,6.084469307553714e-06
TFs_and_others_ZNF438,4.7085864312339926e-06
TFs_and_others_EPAS1,1.0570879460905126e-05
TFs_and_others_TFAP4,1.6548661480907418e-05
TFs_and_others_NPAS2,3.4123903742661784e-07
TFs_and_others_YEATS2,-6.923418397930675e-06
TFs_and_others_AICDA,-9.939308225412696e-06
Histone_H4K8ac,-2.939014304497598e-05
TFs_and_others_CREB3L1,-5.140693905311638e-07
TFs_and_others_RORC,-3.5220035321597237e-06
TFs_and_others_DNMT1,-1.7468134379122914e-05
TFs_and_others_PCF11,-2.173797204742221e-05
TFs_and_others_RAD21,-6.399445605422853e-05
TFs_and_others_ZNF18,-4.358657946484209e-06
TFs_and_others_ZFP37,-4.452686309627546e-06
TFs_and_others_ZNF396,-1.3778922697943645e-08
Histone_H3K27M,-2.03751246245091e-07
TFs_and_others_SAFB2,2.056114184270409e-07
TFs_and_others_FOXR2,5.944228932995184e-06
TFs_and_others_DZIP1,3.379742029727609e-06
TFs_and_others_IKZF1,1.0335243339675533e-05
TFs_and_others_ZNF132,-6.781727545183651e-06
TFs_and_others_ZNF645,-1.0760127077079303e-05
TFs_and_others_NFIB,-2.5824989016477583e-05
Histone_H3K14ac,-1.3969114753991031e-05
RNA_polymerase_POLR2A,-1.537687064940019e-05
TFs_and_others_ZNF195,-9.201659676871789e-07
TFs_and_others_ZBTB3,-1.529804897920357e-06
TFs_and_others_YWHAZ,-3.452264115644072e-07
TFs_and_others_CHD1,-3.518213333874197e-06
TFs_and_others_MINA,-3.5835911712716457e-06
TFs_and_others_BACH1,-3.5913119125624738e-06
TFs_and_others_PAX5,-7.433361759956128e-06
TFs_and_others_ZNF263,5.020450303848138e-06
TFs_and_others_MED8,3.918864082925242e-05
TFs_and_others_RTA,5.2567074463633474e-05
TFs_and_others_8-Hydroxydeoxyguanosine,0.00014609237909001717
TFs_and_others_DEK,1.0891411656264023e-05
TFs_and_others_ZNF704,1.2191005337508842e-05
Histone_H3K29ac,-1.0771184420376729e-06
TFs_and_others_ZNF319,-1.0020081989991575e-06
Histone_H2Bub,-1.7671054899233835e-06
TFs_and_others_SMC3,-6.90481931419855e-06
TFs_and_others_JMJD1C,2.4914011280686523e-06
Histone_H3K79suc,2.7635970529704867e-06
TFs_and_others_ZNF644,8.198683380337024e-06
TFs_and_others_ZNF232,2.7729679554109777e-06
Histone_H2BK15ac,1.6866151280959452e-06
TFs_and_others_IRF3,5.2953678692328455e-06
TFs_and_others_ZNF552,2.786515372508613e-07
TFs_and_others_FOXJ2,1.9900743686983946e-07
TFs_and_others_SALL1,-1.733854840881921e-07
TFs_and_others_TBL1Y,-4.862709007379298e-07
TFs_and_others_ATXN7L3,7.242686140174655e-07
Histone_H3.3B,6.072331035975326e-07
TFs_and_others_DLX5,2.3350133906033383e-06
TFs_and_others_ING5,-3.433032729691449e-07
TFs_and_others_C7orf26,3.278394001455676e-07
TFs_and_others_ZNF12,1.4380311665118048e-07
TFs_and_others_MEAF6,-2.0869314294295203e-07
TFs_and_others_ZNF608,1.8911181781822091e-07
TFs_and_others_Hepatitis B Virus X antigen,-7.26839448030892e-09
TFs_and_others_BRWD1,-3.0531600680988774e-06
TFs_and_others_ZNF671,-3.55446216777229e-06
TFs_and_others_BCORL1,-1.3697537785713473e-05
TFs_and_others_ZEB1,-1.4397538228869567e-06
TFs_and_others_ZNF426,-6.430493188385062e-06
TFs_and_others_HIC1,6.597198671350125e-08
TFs_and_others_TBX3,3.5118196479672547e-07
TFs_and_others_E2F7,4.15791972083587e-07
TFs_and_others_ZBTB11,-5.662468234884619e-07
TFs_and_others_TP73,-1.742300106274766e-06
TFs_and_others_ZBTB49,-3.776925032789125e-06
TFs_and_others_NPM1,-9.62021769573208e-06
TFs_and_others_EBNA1,-4.650879189170964e-07
TFs_and_others_NFE2L2,-4.77179869004458e-07
TFs_and_others_MED7,5.6003598036401156e-08
TFs_and_others_ZNF71,2.0457869476721039e-07
